"Sample","Location","MFI","Antigen"
"S1","ETH",16087,"LF010"
"S1","ETH",15200.5,"LF005"
"S1","ETH",16593,"EBP"
"S1","ETH",20752,"RBP2b.P87"
"S1","ETH",21296,"MSP8"
"S1","ETH",6828,"PvCSS"
"S1","ETH",5647.5,"PTEX150"
"S1","ETH",25207,"LF016"
"S2","ETH",13225,"LF010"
"S2","ETH",11693,"LF005"
"S2","ETH",13766,"EBP"
"S2","ETH",20377,"RBP2b.P87"
"S2","ETH",18846,"MSP8"
"S2","ETH",4367,"PvCSS"
"S2","ETH",3399.5,"PTEX150"
"S2","ETH",23733.5,"LF016"
"S3","ETH",11055,"LF010"
"S3","ETH",8650,"LF005"
"S3","ETH",10578.5,"EBP"
"S3","ETH",16619,"RBP2b.P87"
"S3","ETH",15838,"MSP8"
"S3","ETH",2382.5,"PvCSS"
"S3","ETH",2090,"PTEX150"
"S3","ETH",24788,"LF016"
"S4","ETH",6565.5,"LF010"
"S4","ETH",5600,"LF005"
"S4","ETH",6607,"EBP"
"S4","ETH",15412.5,"RBP2b.P87"
"S4","ETH",11167.5,"MSP8"
"S4","ETH",1359,"PvCSS"
"S4","ETH",1215,"PTEX150"
"S4","ETH",23842,"LF016"
"S5","ETH",4697,"LF010"
"S5","ETH",3089.5,"LF005"
"S5","ETH",4644,"EBP"
"S5","ETH",12231,"RBP2b.P87"
"S5","ETH",7291,"MSP8"
"S5","ETH",751,"PvCSS"
"S5","ETH",688,"PTEX150"
"S5","ETH",21131,"LF016"
"S6","ETH",2451,"LF010"
"S6","ETH",1877,"LF005"
"S6","ETH",2391,"EBP"
"S6","ETH",8058,"RBP2b.P87"
"S6","ETH",4558,"MSP8"
"S6","ETH",399,"PvCSS"
"S6","ETH",363,"PTEX150"
"S6","ETH",18427.5,"LF016"
"S7","ETH",1459,"LF010"
"S7","ETH",1090.5,"LF005"
"S7","ETH",1409,"EBP"
"S7","ETH",5425,"RBP2b.P87"
"S7","ETH",2516.5,"MSP8"
"S7","ETH",207.5,"PvCSS"
"S7","ETH",202,"PTEX150"
"S7","ETH",14419,"LF016"
"S8","ETH",821,"LF010"
"S8","ETH",600,"LF005"
"S8","ETH",936.5,"EBP"
"S8","ETH",2948,"RBP2b.P87"
"S8","ETH",1415,"MSP8"
"S8","ETH",110,"PvCSS"
"S8","ETH",103,"PTEX150"
"S8","ETH",10037.5,"LF016"
"S9","ETH",407,"LF010"
"S9","ETH",324,"LF005"
"S9","ETH",511.5,"EBP"
"S9","ETH",1637,"RBP2b.P87"
"S9","ETH",785,"MSP8"
"S9","ETH",60,"PvCSS"
"S9","ETH",58,"PTEX150"
"S9","ETH",6297.5,"LF016"
"S10","ETH",236,"LF010"
"S10","ETH",174,"LF005"
"S10","ETH",286,"EBP"
"S10","ETH",922,"RBP2b.P87"
"S10","ETH",428,"MSP8"
"S10","ETH",33,"PvCSS"
"S10","ETH",34,"PTEX150"
"S10","ETH",3871,"LF016"
"S1","ETH",16220,"LF010"
"S1","ETH",14950.5,"LF005"
"S1","ETH",16409,"EBP"
"S1","ETH",20050,"RBP2b.P87"
"S1","ETH",21733,"MSP8"
"S1","ETH",6712.5,"PvCSS"
"S1","ETH",5718,"PTEX150"
"S1","ETH",24681,"LF016"
"S2","ETH",12571,"LF010"
"S2","ETH",12035,"LF005"
"S2","ETH",11686,"EBP"
"S2","ETH",19645,"RBP2b.P87"
"S2","ETH",18530.5,"MSP8"
"S2","ETH",4360,"PvCSS"
"S2","ETH",3592,"PTEX150"
"S2","ETH",24497.5,"LF016"
"S3","ETH",11004,"LF010"
"S3","ETH",8457,"LF005"
"S3","ETH",9679,"EBP"
"S3","ETH",17889,"RBP2b.P87"
"S3","ETH",15276,"MSP8"
"S3","ETH",2353,"PvCSS"
"S3","ETH",2022,"PTEX150"
"S3","ETH",23777,"LF016"
"S4","ETH",6270,"LF010"
"S4","ETH",5469.5,"LF005"
"S4","ETH",6600.5,"EBP"
"S4","ETH",15080.5,"RBP2b.P87"
"S4","ETH",11040,"MSP8"
"S4","ETH",1333.5,"PvCSS"
"S4","ETH",1145.5,"PTEX150"
"S4","ETH",22859,"LF016"
"S5","ETH",4401,"LF010"
"S5","ETH",3032.5,"LF005"
"S5","ETH",4159.5,"EBP"
"S5","ETH",11103.5,"RBP2b.P87"
"S5","ETH",7076,"MSP8"
"S5","ETH",722.5,"PvCSS"
"S5","ETH",644,"PTEX150"
"S5","ETH",20919,"LF016"
"S6","ETH",2315,"LF010"
"S6","ETH",1831,"LF005"
"S6","ETH",2548,"EBP"
"S6","ETH",8067,"RBP2b.P87"
"S6","ETH",4485,"MSP8"
"S6","ETH",389,"PvCSS"
"S6","ETH",357,"PTEX150"
"S6","ETH",17871,"LF016"
"S7","ETH",1494.5,"LF010"
"S7","ETH",1031,"LF005"
"S7","ETH",1384,"EBP"
"S7","ETH",5228,"RBP2b.P87"
"S7","ETH",2370,"MSP8"
"S7","ETH",197,"PvCSS"
"S7","ETH",184,"PTEX150"
"S7","ETH",13965,"LF016"
"S8","ETH",708.5,"LF010"
"S8","ETH",585,"LF005"
"S8","ETH",793.5,"EBP"
"S8","ETH",3025.5,"RBP2b.P87"
"S8","ETH",1406,"MSP8"
"S8","ETH",105,"PvCSS"
"S8","ETH",106,"PTEX150"
"S8","ETH",9578,"LF016"
"S9","ETH",458,"LF010"
"S9","ETH",302.5,"LF005"
"S9","ETH",482,"EBP"
"S9","ETH",1778,"RBP2b.P87"
"S9","ETH",787,"MSP8"
"S9","ETH",58,"PvCSS"
"S9","ETH",55,"PTEX150"
"S9","ETH",6350.5,"LF016"
"S10","ETH",231,"LF010"
"S10","ETH",164.5,"LF005"
"S10","ETH",244,"EBP"
"S10","ETH",927.5,"RBP2b.P87"
"S10","ETH",417.5,"MSP8"
"S10","ETH",32.5,"PvCSS"
"S10","ETH",32,"PTEX150"
"S10","ETH",3719.5,"LF016"
"S1","ETH",17992.5,"LF010"
"S1","ETH",15107,"LF005"
"S1","ETH",15714.5,"EBP"
"S1","ETH",21275,"RBP2b.P87"
"S1","ETH",21302,"MSP8"
"S1","ETH",6702,"PvCSS"
"S1","ETH",5570,"PTEX150"
"S1","ETH",25418,"LF016"
"S2","ETH",13960.5,"LF010"
"S2","ETH",11439,"LF005"
"S2","ETH",13405,"EBP"
"S2","ETH",19211,"RBP2b.P87"
"S2","ETH",18559.5,"MSP8"
"S2","ETH",4041,"PvCSS"
"S2","ETH",3126,"PTEX150"
