Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,1/1/2024,11:11 am,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX17087723,,,,,,,,,,,,,,,
Batch,Example_Plate,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,DA,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,PvSeroTaT_v1.0,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,75 uL,,,,,,,,,,,,,,,
BatchStartTime,1/1/2024 11:11,,,,,,,,,,,,,,,
BatchStopTime,1/1/2024 12:11,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,18,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 01/01/2024 12:11:11,,,,,,,,,,,,,,,
Last VER Verification,Passed 01/01/2024 12:11:11,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 01/01/2024 12:11:11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
C00921,03/20/2025,11/20/2024 2:43:32 PM,35.6,35.6,35.6,35.6,240,248,313,313,0.00707,0.00707,0.00395,0.11659,Pass,MAGPX17087723
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,96,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,EBP,LF005,LF010,LF016,MSP8,RBP2b.P87,PTEX150,PvCSS,Total Events,,,,,,
"1(1,A1)",Blank1,20,200,20,10,20,10,30,20,1898,,,,,,
"2(1,A2)",Blank2,15,291,15,15,15,10,20,15,1805,,,,,,
"3(1,A3)",S1,15710.5,11990,22583,21244,24306,7907.5,13207,12427,1842,,,,,,
"4(1,A4)",S2,13545,8285,16947.5,16146,17172,7186,8550,8034,2044,,,,,,
"5(1,A5)",S3,9767,4950,10865,10621.5,11358,4475.5,5329,4990,1815,,,,,,
"6(1,A6)",S4,5648.5,2519,6060,5968.5,6237,3508,2671,2446.5,1950,,,,,,
"7(1,A7)",S5,4104.5,1431,3711.5,3738,3883.5,2082,1548,1299,1991,,,,,,
"8(1,A8)",S6,2105,676.5,1889,1667,2136,1102,698.5,581,1827,,,,,,
"9(1,A9)",S7,1107,328,1106,890,1204,657,333,264,2095,,,,,,
"10(1,A10)",S8,452.5,141,465,405.5,522,277,156,111,1643,,,,,,
"11(1,A11)",S9,209,65,206.5,181.5,249,138,77,46.5,1888,,,,,,
"12(1,A12)",S10,105,42,113.5,87,134,93,40,28,1876,,,,,,
"13(1,B1)",Unknown013,2712,1569,673,327,182,1068,936,223,1927,,,,,,
"14(1,B2)",Unknown014,134,378,117,197,58,465.5,122,93,1965,,,,,,
"15(1,B3)",Unknown015,182,209,208,374,221.5,463,293,868,1970,,,,,,
"16(1,B4)",Unknown016,152,229.5,101,89,48,591,109,110,1911,,,,,,
"17(1,B5)",Unknown017,1135,236,299,507,209.5,671,1665.5,266,1977,,,,,,
"18(1,B6)",Unknown018,174,395,175,78,70,103,294.5,92,1902,,,,,,
"19(1,B7)",Unknown019,421,2081.5,529,149,962,1441.5,241,282,1913,,,,,,
"20(1,B8)",Unknown020,24,49,22,13,15.5,14,28,17,1828,,,,,,
"21(1,B9)",Unknown021,24,45,22,13,16,13,29,17,1885,,,,,,
"22(1,B10)",Unknown022,21464,11789,2508.5,8001,2342,1386,1992,2927,2133,,,,,,
"23(1,B11)",Unknown023,795,6135.5,407,273,535.5,1575,8821,998,1670,,,,,,
"24(1,B12)",Unknown024,1574,348.5,892,288,306,590,315,366,1955,,,,,,
"25(1,C1)",Unknown025,146,408.5,1130.5,83,100,301,652,130,1873,,,,,,
"26(1,C2)",Unknown026,1330.5,3036,965,174,79,1090,179,92,2173,,,,,,
"27(1,C3)",Unknown027,358,4074.5,335.5,140,390,6704,8814,5627,2012,,,,,,
"28(1,C4)",Unknown028,481,1870,421,182.5,1777.5,2390,2465,411,1794,,,,,,
"29(1,C5)",Unknown029,551,1282,331.5,165,77,244,579,229,2023,,,,,,
"30(1,C6)",Unknown030,943,584.5,235,135,3017,1034,4928,7730,1893,,,,,,
"31(1,C7)",Unknown031,532.5,1533,315,210,2575.5,2903,2779,7300,1946,,,,,,
"32(1,C8)",Unknown032,768,12605,409,7632,9860,13703,5612,6383,1843,,,,,,
"33(1,C9)",Unknown033,130,239.5,72,64,37,156,204,49,1900,,,,,,
"34(1,C10)",Unknown034,40,60,37,25,26.5,23.5,40,27,1947,,,,,,
"35(1,C11)",Unknown035,167,605,253,329,3973,1426.5,803,1670,1826,,,,,,
"36(1,C12)",Unknown036,1879,4562,415,18287,11482.5,12031,4830.5,4217,1690,,,,,,
"37(1,D1)",Unknown037,256,1507,117,129,168,488,908,87,1988,,,,,,
"38(1,D2)",Unknown038,24,49,22,12,15,14,29,17,1943,,,,,,
"39(1,D3)",Unknown039,384,1708,326,1172.5,986,1041,299.5,149,1963,,,,,,
"40(1,D4)",Unknown040,210,512,221,191,89,203,410,174.5,2159,,,,,,
"41(1,D5)",Unknown041,351.5,312,165.5,88,66,205,200,183,2122,,,,,,
"42(1,D6)",Unknown042,1278,5810,275,230.5,137,2032,1762,1241,1997,,,,,,
"43(1,D7)",Unknown043,318,397,130,130.5,78,903,1513.5,325,1916,,,,,,
"44(1,D8)",Unknown044,493.5,2980.5,401,5932.5,3536,4699.5,574,5389,2026,,,,,,
"45(1,D9)",Unknown045,9686,873,333,166,791,1093,417.5,262,1691,,,,,,
"46(1,D10)",Unknown046,777.5,581,241.5,173,1479.5,899,1504,260,2044,,,,,,
"47(1,D11)",Unknown047,455,416.5,126,67,48,400,183,61,1639,,,,,,
"48(1,D12)",Unknown048,202,1142,137.5,176,204.5,1090,504,459,1957,,,,,,
"49(1,E1)",Unknown049,333.5,623.5,368,10430,2340,4375,1650,7801.5,1836,,,,,,
