"SampleID","Antigen","MFI"
2469,"EBP",48.5
2469,"PTEX150",259
2469,"PvCSS",66
2469,"LF005",92
2469,"LF010",52
2469,"RBP2b.P87",43
2469,"LF016",75.5
2469,"MSP8",102.5
2470,"EBP",46
2470,"PTEX150",42
2470,"PvCSS",48.5
2470,"LF005",69.5
2470,"LF010",35.5
2470,"RBP2b.P87",39
2470,"LF016",39.5
2470,"MSP8",61
2471,"EBP",33.5
2471,"PTEX150",73
2471,"PvCSS",42
2471,"LF005",62
2471,"LF010",33
2471,"RBP2b.P87",34
2471,"LF016",38
2471,"MSP8",63
2472,"EBP",74
2472,"PTEX150",126.5
2472,"PvCSS",64
2472,"LF005",97
2472,"LF010",58
2472,"RBP2b.P87",54
2472,"LF016",42
2472,"MSP8",74.5
2473,"EBP",75
2473,"PTEX150",238
2473,"PvCSS",76.5
2473,"LF005",113
2473,"LF010",67
2473,"RBP2b.P87",87.5
2473,"LF016",68
2473,"MSP8",309
2474,"EBP",38
2474,"PTEX150",217
2474,"PvCSS",44
2474,"LF005",169
2474,"LF010",31
2474,"RBP2b.P87",42
2474,"LF016",60
2474,"MSP8",345
2475,"EBP",46
2475,"PTEX150",83
2475,"PvCSS",53
2475,"LF005",129
2475,"LF010",42
2475,"RBP2b.P87",65.5
2475,"LF016",114
2475,"MSP8",56
2476,"EBP",36
2476,"PTEX150",38
2476,"PvCSS",57.5
2476,"LF005",56
2476,"LF010",32
2476,"RBP2b.P87",39
2476,"LF016",34
2476,"MSP8",79
2477,"EBP",43
2477,"PTEX150",41
2477,"PvCSS",43
2477,"LF005",812.5
2477,"LF010",36
2477,"RBP2b.P87",43
2477,"LF016",40
2477,"MSP8",68
2478,"EBP",113.5
2478,"PTEX150",233
2478,"PvCSS",75
2478,"LF005",74.5
2478,"LF010",46
2478,"RBP2b.P87",55
2478,"LF016",86
2478,"MSP8",80
2479,"EBP",41.5
2479,"PTEX150",93.5
2479,"PvCSS",49
2479,"LF005",84
2479,"LF010",34
2479,"RBP2b.P87",48
2479,"LF016",100
2479,"MSP8",133
2480,"EBP",58
2480,"PTEX150",687
2480,"PvCSS",60
2480,"LF005",45.5
2480,"LF010",39.5
2480,"RBP2b.P87",43
2480,"LF016",63
2480,"MSP8",102
2481,"EBP",41
2481,"PTEX150",38
2481,"PvCSS",48
2481,"LF005",53
2481,"LF010",35
2481,"RBP2b.P87",45
2481,"LF016",105
2481,"MSP8",45
2482,"EBP",89
2482,"PTEX150",47
2482,"PvCSS",56
2482,"LF005",131
2482,"LF010",2214
2482,"RBP2b.P87",330.5
2482,"LF016",867
2482,"MSP8",65
2483,"EBP",42
2483,"PTEX150",44.5
2483,"PvCSS",583
2483,"LF005",45
2483,"LF010",37
2483,"RBP2b.P87",40
2483,"LF016",47
2483,"MSP8",71
2484,"EBP",49
2484,"PTEX150",50.5
2484,"PvCSS",65
2484,"LF005",273
2484,"LF010",40
2484,"RBP2b.P87",46
2484,"LF016",43.5
2484,"MSP8",93
2485,"EBP",50
2485,"PTEX150",100
2485,"PvCSS",68
2485,"LF005",396
2485,"LF010",46.5
2485,"RBP2b.P87",48.5
2485,"LF016",57
2485,"MSP8",218
2486,"EBP",405
2486,"PTEX150",82
2486,"PvCSS",76
2486,"LF005",64
2486,"LF010",57.5
2486,"RBP2b.P87",57
2486,"LF016",113.5
2486,"MSP8",376.5
2487,"EBP",42
2487,"PTEX150",53
2487,"PvCSS",62
2487,"LF005",54.5
2487,"LF010",44
2487,"RBP2b.P87",46
2487,"LF016",55
2487,"MSP8",55
2488,"EBP",37
2488,"PTEX150",44
2488,"PvCSS",49
2488,"LF005",49
2488,"LF010",34
2488,"RBP2b.P87",55
2488,"LF016",36
2488,"MSP8",124
2489,"EBP",466.5
2489,"PTEX150",122
2489,"PvCSS",62
2489,"LF005",122.5
2489,"LF010",44
2489,"RBP2b.P87",50
2489,"LF016",54
2489,"MSP8",73
2490,"EBP",45
2490,"PTEX150",59
2490,"PvCSS",48
2490,"LF005",153
2490,"LF010",37
2490,"RBP2b.P87",49
2490,"LF016",31
2490,"MSP8",46
2491,"EBP",79.5
2491,"PTEX150",195
2491,"PvCSS",73.5
2491,"LF005",135
2491,"LF010",58.5
2491,"RBP2b.P87",74
2491,"LF016",61
2491,"MSP8",96
2492,"EBP",40
2492,"PTEX150",34
2492,"PvCSS",45
2492,"LF005",76
2492,"LF010",35
2492,"RBP2b.P87",41.5
2492,"LF016",32
2492,"MSP8",54
2493,"EBP",55
2493,"PTEX150",65
2493,"PvCSS",62
2493,"LF005",82
2493,"LF010",49
2493,"RBP2b.P87",119
2493,"LF016",75
2493,"MSP8",151.5
2494,"EBP",275.5
2494,"PTEX150",108.5
2494,"PvCSS",57
2494,"LF005",71.5
2494,"LF010",38
2494,"RBP2b.P87",44
2494,"LF016",166.5
2494,"MSP8",214
2495,"EBP",36
2495,"PTEX150",98.5
2495,"PvCSS",7125
2495,"LF005",52
2495,"LF010",39
2495,"RBP2b.P87",40
2495,"LF016",61
2495,"MSP8",587
2496,"EBP",50
2496,"PTEX150",601
2496,"PvCSS",262
2496,"LF005",49
2496,"LF010",54
2496,"RBP2b.P87",60
2496,"LF016",83
2496,"MSP8",56.5
2497,"EBP",55
2497,"PTEX150",105
2497,"PvCSS",70
2497,"LF005",93
2497,"LF010",49
2497,"RBP2b.P87",58
2497,"LF016",81.5
2497,"MSP8",139
2498,"EBP",142
2498,"PTEX150",59
2498,"PvCSS",52
2498,"LF005",588
2498,"LF010",74
2498,"RBP2b.P87",63
2498,"LF016",94.5
2498,"MSP8",1075
2499,"EBP",37.5
2499,"PTEX150",335
2499,"PvCSS",49
2499,"LF005",45
2499,"LF010",36
2499,"RBP2b.P87",43
2499,"LF016",50
2499,"MSP8",406.5
2500,"EBP",47
2500,"PTEX150",126
2500,"PvCSS",61.5
2500,"LF005",66
2500,"LF010",58
2500,"RBP2b.P87",48
2500,"LF016",62
2500,"MSP8",195
2501,"EBP",45.5
2501,"PTEX150",137
2501,"PvCSS",49
2501,"LF005",60
2501,"LF010",42
2501,"RBP2b.P87",52
2501,"LF016",76
2501,"MSP8",80
2502,"EBP",1593
2502,"PTEX150",82
2502,"PvCSS",44
2502,"LF005",55
2502,"LF010",39
2502,"RBP2b.P87",55
2502,"LF016",180
2502,"MSP8",102
2503,"EBP",57
2503,"PTEX150",49
2503,"PvCSS",55
2503,"LF005",138
2503,"LF010",47
2503,"RBP2b.P87",46
2503,"LF016",43
2503,"MSP8",157
2504,"EBP",62.5
2504,"PTEX150",134.5
2504,"PvCSS",85
2504,"LF005",58
2504,"LF010",66
2504,"RBP2b.P87",72
2504,"LF016",59.5
2504,"MSP8",67
2505,"EBP",48
2505,"PTEX150",43
2505,"PvCSS",89.5
2505,"LF005",73
2505,"LF010",37
2505,"RBP2b.P87",41
2505,"LF016",52
2505,"MSP8",78
2506,"EBP",45
2506,"PTEX150",58
2506,"PvCSS",52
2506,"LF005",53
2506,"LF010",39.5
2506,"RBP2b.P87",58
2506,"LF016",65
2506,"MSP8",141
2507,"EBP",32
2507,"PTEX150",29
2507,"PvCSS",56.5
2507,"LF005",56
2507,"LF010",34
2507,"RBP2b.P87",38
2507,"LF016",159
2507,"MSP8",55
2508,"EBP",65
2508,"PTEX150",86
2508,"PvCSS",81
2508,"LF005",68
2508,"LF010",53
2508,"RBP2b.P87",56
2508,"LF016",89
2508,"MSP8",109
2509,"EBP",115
2509,"PTEX150",231
2509,"PvCSS",72
2509,"LF005",103
2509,"LF010",155
2509,"RBP2b.P87",126
2509,"LF016",178
2509,"MSP8",74
2510,"EBP",77
2510,"PTEX150",101.5
2510,"PvCSS",167
2510,"LF005",67
2510,"LF010",42
2510,"RBP2b.P87",53
2510,"LF016",75.5
2510,"MSP8",57.5
2511,"EBP",38
2511,"PTEX150",146.5
2511,"PvCSS",50.5
2511,"LF005",40.5
2511,"LF010",35
2511,"RBP2b.P87",57.5
2511,"LF016",43.5
2511,"MSP8",149
2512,"EBP",42
2512,"PTEX150",163
2512,"PvCSS",111
2512,"LF005",56
2512,"LF010",39
2512,"RBP2b.P87",40
2512,"LF016",93
2512,"MSP8",66
2513,"EBP",66
2513,"PTEX150",141
2513,"PvCSS",64
2513,"LF005",85
2513,"LF010",52
2513,"RBP2b.P87",54
2513,"LF016",205
2513,"MSP8",114
2514,"EBP",46
2514,"PTEX150",47
2514,"PvCSS",54
2514,"LF005",599
2514,"LF010",37
2514,"RBP2b.P87",45
2514,"LF016",60
2514,"MSP8",331
2515,"EBP",40
2515,"PTEX150",55.5
2515,"PvCSS",53
2515,"LF005",53
2515,"LF010",37
2515,"RBP2b.P87",40.5
2515,"LF016",219.5
2515,"MSP8",50
2516,"EBP",82
2516,"PTEX150",171.5
2516,"PvCSS",116
2516,"LF005",48.5
2516,"LF010",39
2516,"RBP2b.P87",44
2516,"LF016",83
2516,"MSP8",53
2517,"EBP",43
2517,"PTEX150",112
2517,"PvCSS",79
2517,"LF005",66
2517,"LF010",38
2517,"RBP2b.P87",44.5
2517,"LF016",245.5
2517,"MSP8",445.5
2518,"EBP",42.5
2518,"PTEX150",65
2518,"PvCSS",48
2518,"LF005",146
2518,"LF010",40
2518,"RBP2b.P87",59
2518,"LF016",49
2518,"MSP8",174
2519,"EBP",41
2519,"PTEX150",60
2519,"PvCSS",59
2519,"LF005",67
2519,"LF010",40.5
2519,"RBP2b.P87",43
2519,"LF016",44
2519,"MSP8",170
2520,"EBP",41
2520,"PTEX150",106
2520,"PvCSS",56
2520,"LF005",47
2520,"LF010",37
2520,"RBP2b.P87",39
2520,"LF016",34
2520,"MSP8",79
2521,"EBP",174
2521,"PTEX150",43
2521,"PvCSS",43
2521,"LF005",93
2521,"LF010",37.5
2521,"RBP2b.P87",33
2521,"LF016",35
2521,"MSP8",59
2522,"EBP",53
2522,"PTEX150",52
2522,"PvCSS",91
2522,"LF005",75
2522,"LF010",46
2522,"RBP2b.P87",60
2522,"LF016",179
2522,"MSP8",1395
2523,"EBP",51
2523,"PTEX150",108
2523,"PvCSS",134
2523,"LF005",58
2523,"LF010",47
2523,"RBP2b.P87",61
2523,"LF016",124
2523,"MSP8",280
2524,"EBP",50.5
2524,"PTEX150",65
2524,"PvCSS",70
2524,"LF005",44
2524,"LF010",43
2524,"RBP2b.P87",35
2524,"LF016",25
2524,"MSP8",55
2525,"EBP",40.5
2525,"PTEX150",51.5
2525,"PvCSS",56
2525,"LF005",244
2525,"LF010",39
2525,"RBP2b.P87",43
2525,"LF016",110
2525,"MSP8",78
2526,"EBP",49
2526,"PTEX150",63
2526,"PvCSS",53.5
2526,"LF005",46
2526,"LF010",42
2526,"RBP2b.P87",47
2526,"LF016",45.5
2526,"MSP8",101.5
2527,"EBP",38
2527,"PTEX150",158
2527,"PvCSS",50.5
2527,"LF005",40
2527,"LF010",36
2527,"RBP2b.P87",45
2527,"LF016",43.5
2527,"MSP8",41
2528,"EBP",44
2528,"PTEX150",58.5
2528,"PvCSS",50
2528,"LF005",74
2528,"LF010",42
2528,"RBP2b.P87",47
2528,"LF016",53
2528,"MSP8",61
2529,"EBP",45
2529,"PTEX150",73
2529,"PvCSS",55
2529,"LF005",52.5
2529,"LF010",39
2529,"RBP2b.P87",44
2529,"LF016",103
2529,"MSP8",428.5
2530,"EBP",71.5
2530,"PTEX150",97
2530,"PvCSS",42
2530,"LF005",42
2530,"LF010",31
2530,"RBP2b.P87",36
2530,"LF016",48
2530,"MSP8",36
2531,"EBP",39
2531,"PTEX150",33
2531,"PvCSS",47.5
2531,"LF005",44
2531,"LF010",35.5
2531,"RBP2b.P87",43
2531,"LF016",54
2531,"MSP8",60
2532,"EBP",48
2532,"PTEX150",78
2532,"PvCSS",47
2532,"LF005",113.5
2532,"LF010",44
2532,"RBP2b.P87",49
2532,"LF016",54
2532,"MSP8",878
2533,"EBP",45
2533,"PTEX150",67.5
2533,"PvCSS",65.5
2533,"LF005",72
2533,"LF010",40
2533,"RBP2b.P87",44
2533,"LF016",49.5
2533,"MSP8",56
2534,"EBP",54
2534,"PTEX150",127.5
2534,"PvCSS",61
2534,"LF005",176
2534,"LF010",52
2534,"RBP2b.P87",54
2534,"LF016",52
2534,"MSP8",69
2535,"EBP",70
2535,"PTEX150",128
2535,"PvCSS",61
2535,"LF005",77
2535,"LF010",52
2535,"RBP2b.P87",57
2535,"LF016",222.5
2535,"MSP8",72
2536,"EBP",41
2536,"PTEX150",37
2536,"PvCSS",47
2536,"LF005",42
2536,"LF010",35.5
2536,"RBP2b.P87",37
2536,"LF016",79
2536,"MSP8",58
2537,"EBP",44
2537,"PTEX150",77
2537,"PvCSS",208
2537,"LF005",423
2537,"LF010",41
2537,"RBP2b.P87",49
