"std_plate","Sample","antigen","eth_mfi","dilution","png_mfi"
1,"S1","LF005",13873.5,1,11040
1,"S1","EBP",12205.5,1,15474.5
1,"S1","LF010",26159,1,23275
1,"S1","PTEX150",4519,1,8608
1,"S1","RBP2b.P87",7494.5,1,8475
1,"S1","LF016",26716.5,1,21419
1,"S1","PvCSS",5873.5,1,11508
1,"S2","LF005",10354.5,0.5,9236
1,"S2","EBP",9162.5,0.5,13023
1,"S2","LF010",20960,0.5,20576
1,"S2","PTEX150",2590,0.5,5896
1,"S2","RBP2b.P87",6571,0.5,7593.5
1,"S2","LF016",27263,0.5,18561
1,"S2","PvCSS",3131,0.5,8174.5
1,"S3","LF005",6679.5,0.25,6571
1,"S3","EBP",6276.5,0.25,10904
1,"S3","LF010",15065,0.25,16715
1,"S3","PTEX150",1585,0.25,5126.5
1,"S3","RBP2b.P87",5098.5,0.25,6106.5
1,"S3","LF016",24853,0.25,15266
1,"S3","PvCSS",1859,0.25,6152.5
1,"S4","LF005",4473,0.125,4438
1,"S4","EBP",4227,0.125,8172
1,"S4","LF010",11102.5,0.125,12482
1,"S4","PTEX150",1007,0.125,3063.5
1,"S4","RBP2b.P87",3846,0.125,4857
1,"S4","LF016",24178,0.125,11864
1,"S4","PvCSS",1027,0.125,3903
1,"S5","LF005",2290,0.0625,2406
1,"S5","EBP",2284,0.0625,5456
1,"S5","LF010",7099,0.0625,8454
1,"S5","PTEX150",562,0.0625,2018
1,"S5","RBP2b.P87",2261.5,0.0625,3385.5
1,"S5","LF016",21891,0.0625,7812
1,"S5","PvCSS",569.5,0.0625,2184
1,"S6","LF005",1384,0.03125,1435
1,"S6","EBP",1363.5,0.03125,3090
1,"S6","LF010",4649,0.03125,5258.5
1,"S6","PTEX150",312.5,0.03125,1255.5
1,"S6","RBP2b.P87",1469.5,0.03125,2142
1,"S6","LF016",17325,0.03125,5135
1,"S6","PvCSS",317.5,0.03125,1202
1,"S7","LF005",759,0.015625,874
1,"S7","EBP",784,0.015625,1930
1,"S7","LF010",2549,0.015625,3166
1,"S7","PTEX150",180,0.015625,784
1,"S7","RBP2b.P87",882.5,0.015625,1468
1,"S7","LF016",12942,0.015625,2973
1,"S7","PvCSS",164,0.015625,663.5
1,"S8","LF005",414.5,0.0078125,473
1,"S8","EBP",444.5,0.0078125,1146
1,"S8","LF010",1558.5,0.0078125,1922
1,"S8","PTEX150",106,0.0078125,422.5
1,"S8","RBP2b.P87",476.5,0.0078125,927
1,"S8","LF016",8842,0.0078125,1763
1,"S8","PvCSS",88,0.0078125,341
1,"S9","LF005",233.5,0.00390625,263
1,"S9","EBP",263,0.00390625,646
1,"S9","LF010",953,0.00390625,1163
